color_id,color_name,color_description
,Monochrome (Purple),Single-color purple designs with varying shades
,black,Solid black ink tattoos
,Neon / High-Vibrancy,"Extremely bright, fluorescent colors"
,Jewel Tones,"Rich, saturated colors resembling gemstones"
,Black & Grey Only,Tattoos using only black and grey ink
,Duotone,Two-color designs with specific color combinations
,High-Saturation,"Intensely saturated, vibrant colors"
,Pastel,"Soft, muted colors with low saturation"
,Full Color,Tattoos utilizing a full spectrum of colors
,blue,Various shades of blue ink
,Black & Grey,Traditional black and grey tattoo style
,green,Various shades of green ink
,white,"White ink tattoos, often used for highlights"
,yellow,Various shades of yellow ink
,Sepia,Brown-toned colors resembling antique photographs
,Monochrome (Blue),Single-color blue designs with varying shades
,red,Various shades of red ink
,Monochrome (Red),Single-color red designs with varying shades
,Muted / Earth Tones,"Subdued, natural colors inspired by earth elements"
,Monochrome (Green),Single-color green designs with varying shades
,White-Ink Accents,White ink used for highlights and accents